,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,公休,特殊休,ハ,ト,F
統括,公休,公休,ト,公休,公休,ハ,ト,ト,ト,特殊休,ト,ト,ハ,ト,公休,F,F,特殊休,公休,ト,ト,ト,特殊休,ト,ハ,ハ,特殊休,ト,F,F,ト,6,4,4,13,4
副部長A,F,F,F,F,公休,F,F,特殊休,F,F,F,公休,F,F,F,F,公休,F,F,F,F,公休,F,公休,ハ,公休,ハ,F,特殊休,特殊休,F,6,3,2,0,20
副部長B,ハ,F,公休,ハ,F,F,F,特殊休,ハ,ハ,公休,ハ,ハ,公休,ハ,公休,ハ,ハ,ハ,ハ,特殊休,ハ,ハ,F,F,特殊休,F,公休,ハ,ハ,公休,6,3,15,0,7
副部長C,F,公休,ハ,公休,ハ,ハ,ハ,F,公休,F,特殊休,F,ト,ハ,ト,公休,F,公休,特殊休,特殊休,ハ,特殊休,ト,ハ,F,F,公休,ハ,特殊休,ト,ハ,6,5,9,4,7
副部長D,ト,ハ,公休,F,公休,ト,ト,ハ,ト,特殊休,ハ,F,ト,ト,公休,ハ,F,F,特殊休,特殊休,F,F,F,公休,公休,ハ,ハ,公休,F,F,特殊休,6,4,6,6,9
部員A,F,ト,ト,ト,公休,F,公休,F,F,ト,特殊休,ト,F,F,公休,ト,ハ,ハ,F,特殊休,F,公休,公休,特殊休,ト,公休,特殊休,F,ト,特殊休,ハ,6,5,3,8,9
部員B,特殊休,ハ,公休,公休,F,公休,F,F,F,ト,特殊休,ト,F,F,F,特殊休,ト,ハ,ト,F,特殊休,ト,F,F,特殊休,公休,公休,F,F,公休,F,6,5,2,5,13
部員C,ハ,公休,ハ,ト,ハ,公休,特殊休,ト,公休,ハ,公休,ハ,F,ト,ハ,特殊休,ト,ト,ト,ハ,特殊休,F,特殊休,ハ,ト,ト,F,公休,ト,公休,ハ,6,4,9,9,3
臨時・派遣A,ト,ト,特殊休,ハ,ト,ト,公休,ト,ハ,公休,ト,F,F,特殊休,F,公休,公休,F,特殊休,F,ト,ハ,ト,公休,F,ト,ト,公休,ト,ハ,ト,6,3,4,12,6
臨時・派遣B,特殊休,F,F,公休,ト,F,公休,F,F,公休,F,特殊休,F,F,ト,ト,特殊休,ト,ハ,ト,ハ,公休,公休,ト,公休,F,ト,ト,特殊休,ト,F,6,4,2,9,10
臨時・派遣C,特殊休,ハ,ハ,ハ,公休,ハ,ハ,ハ,特殊休,ハ,ハ,ハ,特殊休,ハ,公休,ハ,特殊休,公休,ハ,ハ,公休,ハ,ハ,公休,公休,ハ,特殊休,ハ,ハ,ハ,ハ,6,5,20,0,0
公休,1,3,3,4,5,2,3,0,2,2,2,1,0,1,4,3,2,2,1,0,1,3,2,4,3,3,2,4,0,2,1,0,0,0,0,0
特殊休,3,0,1,0,0,0,1,2,1,2,3,1,1,1,0,2,2,1,3,3,3,1,2,1,1,1,3,0,3,2,1,0,0,0,0,0
ハ,2,3,3,3,2,3,2,2,2,3,2,3,2,2,2,2,2,3,3,3,2,3,2,2,2,3,2,2,2,3,4,0,0,0,0,0
ト,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,0,0,0,0,0
F,3,3,2,2,2,4,3,4,4,2,2,3,6,4,3,2,3,3,2,3,3,2,3,2,3,2,2,3,3,2,3,0,0,0,0,0
