,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,公休,特殊休,ハ,ト,F
統括,出張,公休,ト,公休,公休,ハ,ト,ト,ト,イ,ト,ト,ハ,ト,公休,F,F,イ,公休,ト,ト,ト,イ,ト,ハ,ハ,イ,ト,F,F,ト,イ,イ,イ,イ,イ
副部長A,F,F,F,F,公休,F,F,イ,F,F,F,公休,F,F,F,F,公休,F,F,F,F,公休,F,公休,ハ,公休,ハ,F,イ,イ,F,イ,イ,イ,イ,イ
副部長B,ハ,F,公休,ハ,F,F,F,イ,ハ,ハ,公休,ハ,ハ,公休,ハ,公休,ハ,ハ,ハ,ハ,イ,ハ,ハ,F,F,イ,F,公休,ハ,ハ,公休,イ,イ,イ,イ,イ
副部長C,F,公休,ハ,公休,ハ,ハ,ハ,F,公休,F,イ,F,ト,ハ,ト,公休,F,公休,イ,イ,ハ,イ,ト,ハ,F,F,公休,ハ,イ,ト,ハ,イ,イ,イ,イ,イ
副部長D,ト,ハ,公休,F,公休,ト,ト,ハ,ト,イ,ハ,F,ト,ト,公休,ハ,F,F,イ,イ,F,F,F,公休,公休,ハ,ハ,公休,F,F,イ,イ,イ,イ,イ,イ
部員A,F,ト,ト,ト,公休,F,公休,F,F,ト,イ,ト,F,F,公休,ト,ハ,ハ,F,イ,F,公休,公休,イ,ト,公休,イ,F,ト,イ,ハ,イ,イ,イ,イ,イ
部員B,イ,ハ,公休,公休,F,公休,F,F,F,ト,イ,ト,F,F,F,イ,ト,ハ,ト,F,イ,ト,F,F,イ,公休,公休,F,F,公休,F,イ,イ,イ,イ,イ
部員C,ハ,公休,ハ,ト,ハ,公休,イ,ト,公休,ハ,公休,ハ,F,ト,ハ,イ,ト,ト,ト,ハ,イ,F,イ,ハ,ト,ト,F,公休,ト,公休,ハ,イ,イ,イ,イ,イ
臨時・派遣A,ト,ト,イ,ハ,ト,ト,公休,ト,ハ,公休,ト,F,F,イ,F,公休,公休,F,イ,F,ト,ハ,ト,公休,F,ト,ト,公休,ト,ハ,ト,イ,イ,イ,イ,イ
臨時・派遣B,イ,F,F,公休,ト,F,公休,F,F,公休,F,イ,F,F,ト,ト,イ,ト,ハ,ト,ハ,公休,公休,ト,公休,F,ト,ト,イ,ト,F,イ,イ,イ,イ,イ
臨時・派遣C,イ,ハ,ハ,ハ,公休,ハ,ハ,ハ,イ,ハ,ハ,ハ,イ,ハ,公休,ハ,イ,公休,ハ,ハ,公休,ハ,ハ,公休,公休,ハ,イ,ハ,ハ,ハ,ハ,イ,イ,イ,イ,イ
公休,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ
特殊休,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ
ハ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ
ト,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ
F,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ,イ
