,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,公休,特殊休,ハ,ト,F
統括,F,ト,ハ,特殊休,ト,F,公休,特殊休,F,ト,F,ト,特殊休,ト,公休,F,ト,ト,ト,特殊休,F,ト,ハ,ト,公休,公休,公休,ト,ト,公休,特殊休,6,5,2,12,6
副部長A,F,F,F,F,公休,F,ト,ハ,F,公休,F,F,F,特殊休,F,公休,特殊休,F,F,F,公休,F,F,F,公休,ハ,F,F,公休,特殊休,F,6,3,2,1,19
副部長B,ハ,ハ,特殊休,公休,F,ト,ハ,特殊休,ハ,F,公休,ハ,ハ,ハ,公休,F,ト,ハ,F,公休,ハ,ハ,ハ,F,公休,F,F,F,特殊休,F,公休,6,3,11,2,9
副部長C,F,特殊休,ハ,公休,ハ,ハ,F,F,特殊休,公休,ハ,公休,F,ト,ハ,特殊休,F,公休,ハ,ハ,F,特殊休,F,公休,F,ト,ハ,公休,F,ト,ハ,6,4,9,3,9
副部長D,ト,F,公休,ハ,F,F,特殊休,ト,特殊休,ハ,公休,ハ,ト,F,公休,ハ,ハ,特殊休,ト,ト,公休,特殊休,公休,ハ,ハ,ト,公休,ハ,ハ,ハ,ハ,6,4,11,6,4
部員A,F,特殊休,ト,特殊休,F,特殊休,F,ト,F,ト,公休,F,F,F,特殊休,ハ,公休,F,公休,F,ト,F,特殊休,公休,公休,F,公休,ト,ハ,ト,ト,6,5,2,7,11
部員B,公休,F,F,F,F,特殊休,ト,F,F,F,公休,公休,特殊休,ハ,ト,ト,F,特殊休,特殊休,ハ,F,ト,ト,公休,F,公休,ト,特殊休,F,公休,ハ,6,5,3,6,11
部員C,ハ,ハ,公休,ト,ハ,ト,ハ,特殊休,ト,ハ,特殊休,ト,ハ,公休,ト,公休,特殊休,ト,F,公休,ハ,ト,ト,公休,ト,ハ,特殊休,特殊休,F,ト,公休,6,5,8,10,2
臨時・派遣A,ト,ト,特殊休,ト,ト,F,公休,ハ,F,公休,ト,公休,公休,公休,F,ト,ハ,特殊休,ハ,F,ト,特殊休,特殊休,F,ト,F,公休,ハ,特殊休,F,F,6,5,4,8,8
臨時・派遣B,公休,F,ト,F,F,公休,ハ,F,ト,公休,ト,F,ト,公休,公休,公休,特殊休,特殊休,F,ト,ト,特殊休,特殊休,ト,F,ト,ト,特殊休,ト,ハ,ト,6,5,2,11,7
臨時・派遣C,ハ,公休,ハ,ハ,ハ,ハ,特殊休,特殊休,ハ,公休,ハ,公休,公休,特殊休,ハ,特殊休,ハ,ハ,ハ,ハ,特殊休,ハ,公休,ハ,ハ,ハ,ハ,公休,ハ,ハ,ハ,6,5,20,0,0
公休,2,1,2,2,1,1,2,0,0,5,4,4,2,3,4,3,1,1,1,2,2,0,2,4,4,2,4,2,1,2,2,0,0,0,0,0
特殊休,0,2,2,2,0,2,2,4,2,0,1,0,2,2,1,2,3,4,1,1,1,4,3,0,0,0,1,3,2,1,1,0,0,0,0,0
ハ,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,3,2,2,3,3,4,0,0,0,0,0
ト,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,2,3,2,0,0,0,0,0
F,4,4,2,3,5,4,2,3,5,2,2,3,3,2,2,2,2,2,4,3,3,2,2,3,3,3,2,2,3,2,2,0,0,0,0,0
